name,website,vertical ,sub vertical,Descripcion / soluciÃ³n ,paÃ­s Â¿dÃ³nde se encuentra su principal sede de operaciones? ,ciudad/regiÃ³n ,EstadÃ­o actual ,TelÃ©fono ,Mail ,LINKEDIN,INSTAGRAM ,FACEBOOK,X (twitter),Logo ,Founder/s,Founded,Modelo de Negocio,"DESTACADO/ BADGES Â¿QUÃ LA HACE ESPECIAL?""",Funding total 2026,ETAPA DE MADUREZ Â¿En quÃ© momento del crecimiento estÃ¡?,ÃREA INFLUENCIA: Â¿quÃ© alcance tiene su soluciÃ³n hoy?,"ESTADIO SOLUCIÃN (Â¿En quÃ© nivel de madurez tecnolÃ³gica se encuentra tu proyecto?)""",IMPACTO /SOCIOAMBIENTAL,RESULTADO / OUTCOME Â¿QUÃ PASÃ CON LA EMPRESA?
Blue River Technology,https://www.bluerivertechnology.com,AgTech,Ag Hardware & Automation/Robotics,RobÃ³tica con visiÃ³n artificial para agricultura selectiva,Estados Unidos,,,,,,,,,,,,,,,,,,,
CropIn,https://www.cropin.com,AgTech,Digital Agriculture / Ag Software,Plataforma de gestiÃ³n agrÃ­cola y trazabilidad,India,,,,,,,,,,,,,,,,,,,
Ceres Imaging,https://www.ceresimaging.net,AgTech,Water & Irrigation Tech /Water optimization ,ImÃ¡genes aÃ©reas para optimizar riego y rendimiento,Estados Unidos,,,,,,,,,,,,,,,,,,,
Semios,https://semios.com,AgTech,Sensors / IoT,IoT y biologÃ­a para control de plagas y monitoreo,CanadÃ¡,,,,,,,,,,,,,,,,,,,
AppHarvest,https://www.appharvest.com,AgTech,Farm Management Systems,ProducciÃ³n agrÃ­cola en invernaderos de alta tecnologÃ­a,Estados Unidos,,,,,,,,,,,,,,,,,,,
Apeel Sciences,https://apeelsciences.com,BIOTECHNOLOGY & BIOINPUTS,Biological crop protection,Recubrimientos naturales que extienden la vida Ãºtil de alimentos,Estados Unidos,,,,,,,,,,,,,,,,,,,
GreenLight Biosciences,https://www.greenlightbiosciences.com,BIOTECHNOLOGY & BIOINPUTS,Biological crop protection,ProtecciÃ³n de cultivos basada en ARN,Estados Unidos,,,,,,,,,,,,,,,,,,,
Gotham Greens,https://www.gothamgreens.com,CLIMATECH,Sustainability & Environmental Impact,Invernaderos urbanos para producciÃ³n local,Estados Unidos,,,,,,,,,,,,,,,,,,,
BrightFarms,https://www.brightfarms.com,FOODTECH,Indoor & Controlled Environment Agriculture,ProducciÃ³n local de vegetales en invernaderos,Estados Unidos,,,,,,,,,,,,,,,,,,,
Local Bounti,https://localbounti.com,FOODTECH,Indoor & Controlled Environment Agriculture,Agricultura indoor hÃ­brida y eficiente,Estados Unidos,,,,,,,,,,,,,,,,,,,
Iron Ox,https://www.ironox.com,AgTech,Ag Hardware & Automation/Sensors / IoT,Granjas robotizadas totalmente automatizadas,Estados Unidos,,,,,,,,,,,,,,,,,,,
FarmWise,https://www.farmwise.io,AgTech,Ag Hardware & Automation/Robotics,Robots autÃ³nomos para desmalezado,Estados Unidos,,,,,,,,,,,,,,,,,,,
Rantizo,https://rantizo.com,AgTech,Ag Hardware & Automation/ Drones,Servicios de fumigaciÃ³n con drones,Estados Unidos,,,,,,,,,,,,,,,,,,,
Agrofy,https://www.agrofy.com.ar,AgTech,Digital Agriculture / Ag Software,Marketplace digital agroindustrial,Argentina,,,,,,,,,,,,,,,,,,,
Kilimo,https://kilimo.com,AgTech,Water & Irrigation Tech,GestiÃ³n inteligente del riego y ahorro de agua,Argentina,,,,,,,,,,,,,,,,,,,
NoCarbon Milk,https://www.facebook.com/nocarbonmilk/,Climatech,Inactiva ,Leche cero carbono ,Brasil,,,,,,,,,,,,,,,,,,,
Nasekomo,https://nasekomo.life,BIOTECHNOLOGY & BIOINPUTS,,ProteÃ­na de insectos a partir de residuos orgÃ¡nicos,Bulgaria,,,,,,,,,,,,,,,,,,,
Symbiomics,https://www.symbiomics.com.br,CLIMATECH,Soil Health & Regenerative Agriculture,Servicios de microbiologÃ­a del suelo,Brasil,,,,,,,,,,,,,,,,,,,
Carbon Maps,https://www.carbonmaps.io,CLIMATECH,Climate & Carbon Solutions,MediciÃ³n de huella de carbono en alimentos,EspaÃ±a,,,,,,,,,,,,,,,,,,,
Seedz,https://seedz.ag,AgTech,Digital Agriculture / Ag Software,Dados e InteligÃªncia de Mercado avanÃ§ada para as empresas apaixonadas pelo agro.,Brasil,,,,,,,,,,,,,,,,,,,
NitroCapt,https://nitrocapt.com,CLIMATECH,Climate & Carbon Solutions,Captura de nitrÃ³geno para fertilizantes sostenibles,PaÃ­ses Bajos,,,,,,,,,,,,,,,,,,,
ucrop.it,https://ucrop.it,AgTech,Digital Agriculture / Ag Software,Plataforma de trazabilidad y datos agrÃ­colas,Italia,,,,,,,,,,,,,,,,,,,
Roslin Technologies,https://roslintech.com,BIOTECHNOLOGY & BIOINPUTS,Genetica animal,GenÃ©tica animal avanzada y biotecnologÃ­a,Reino Unido,,,,,,,,,,,,,,,,,,,
Exacta BioScience,https://exactascience.com,AgTech,,DiagnÃ³stico temprano de estrÃ©s en cultivos,Estados Unidos,,,,,,,,,,,,,,,,,,,
Carbon Mapper (example),https://carbonmapper.org,Climatech,,Monitoreo de emisiones con satÃ©lites,Estados Unidos,,,,,,,,,,,,,,,,,,,
Zipline (ag division),https://flyzipline.com,AgTech,,LogÃ­stica y entregas con drones autÃ³nomos,Estados Unidos,,,,,,,,,,,,,,,,,,,
AgVoice,https://www.agvoice.com,AgTech,,Captura de datos agrÃ­colas por voz,Estados Unidos,,,,,,,,,,,,,,,,,,,
Trace Genomics,https://www.tracegenomics.com,AgTech,,AnÃ¡lisis genÃ³mico del suelo,Estados Unidos,,,,,,,,,,,,,,,,,,,
InFarm,https://www.infarm.com,AgTech,,Agricultura vertical modular en retail y ciudades,Alemania,,,,,,,,,,,,,,,,,,,
,https://rumina.com.br/onfarm/,AgTech,Digital Agriculture / Ag Software,"Controle la mastitis de forma rÃ¡pida y eficaz en la explotaciÃ³n, garantizando una ganaderÃ­a mÃ¡s sostenible y rentable.",Brasil,,,,,,,,,,,,,,,,,,,
Semillas del Futuro,https://alliancebioversityciat.org/es/semillas-del-futuro,BIOTECHNOLOGY & BIOINPUTS,Regenerative Practices,Centro de innovaciÃ³n global para la conservaciÃ³n y el uso de la diversidad de cultivos que se convertirÃ¡ en una fuerza impulsora para la innovaciÃ³n en la agricultura.,Colombia,Palmira,,,,,,,,,,,,,,,,,,
NPKS,npks.com.ar,AgTech,Digital Agriculture / Ag Software,"Plataforma que te permite obtener recomendaciones de fertilizaciÃ³n ideal, ajustada a las necesidades especÃ­ficas del lote en producciÃ³n.",Argentina,Buenos Aires,N/A,,"gerardo.pilattti@npks.com.ar
 / nicolas@npks.com.ar",https://www.linkedin.com/company/npks-agriculture/about/ ,N/D,N/D,N/D,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Cintia Velardez (https://www.linkedin.com/in/cintia-velardez-b2aa651b/) | Gerardo Pilatti (https://www.linkedin.com/in/gerardopilatti/),2019,B2B Â· SaaS agronÃ³mico para productores,Optimiza el uso de fertilizantes con datos de suelo. Reduce desperdicio de nutrientes.,N/D,Temprana,Regional (Latam),,FertilizaciÃ³n de precisiÃ³n = menos escorrentÃ­a de nutrientes a rÃ­os.,Operativa en Argentina. Creciendo en clientes.
Agrofy,agrofy.com,AgTech,Marketplace Agropecuario,"Marketplace agropecuario lÃ­der en Argentina y Latam: insumos, maquinaria, granos y servicios. 'El MercadoLibre del agro'.",Argentina,Buenos Aires,Series C,54 11 5352-6000,N/D,linkedin.com/company/agrofy,instagram.com/agrofy,N/D,twitter.com/Agrofy_,,,2015,B2B/B2C Â· Marketplace comisiones + fintech,"1M+ usuarios. Compra y venta de insumos, maquinaria y granos online. Backed Syngenta.",~$70M,Madurez,Regional (Latam),,Digitaliza el comercio agropecuario. Reduce intermediarios. Acceso a mÃ¡s productores.,"1M+ usuarios. Operaciones en Argentina, Brasil, Uruguay, Paraguay."
Bioceres,bioceres.com.ar,AgTech,"AgTech
Biotech, BioingenierÃ­a & Biomateriales","Bioceres es una empresa de desarrollo de biotecnologÃ­a agrÃ­cola (semillas, bioinsumos, soluciones sustentables) completamente integrada con una sÃ³lida posiciÃ³n de liderazgo en AmÃ©rica del Sur y acceso a mercados agrÃ­colas mundiales a travÃ©s de canales propios y de socios lÃ­deres en la industria.",Argentina,Rosario,Post-IPO Equity,54 341 486-1100 / 54 341 439-5000,,https://www.linkedin.com/company/bioceres-s-a-/about/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1UOgPuhLqGvqR5WRqH2_GrZMh21wahjM6&w=3840&q=75,Gustavo Grobocopatel (https://www.linkedin.com/in/gustavo-grobocopatel-127082a/) | Victor Trucco (https://www.linkedin.com/in/v%C3%ADctor-trucco-48b82b12/),2001,B2B Â· Licencias + venta semillas y biologicals,HB4: soja y trigo tolerante a sequÃ­a aprobados en Argentina y Brasil. B-Corp.,~$300M,Madurez,Global,,Cultivos tolerantes a sequÃ­a = menores pÃ©rdidas por cambio climÃ¡tico. Menos quÃ­micos.,NASDAQ: BIOX. HB4 en comercializaciÃ³n. Biologicals en expansiÃ³n global.
Calice AI,calice.ai,AgTech,"AgTech
Fintech","Utilizan el poder de los datos para ayudar a los mejoradores a acelerar el desarrollo de los cultivos..Trabajan combinando tecnologÃ­as de reproducciÃ³n predictiva a travÃ©s de nuestra IA y una plataforma basada en aprendizaje profundo llamada NODESâ¢, con reproducciÃ³n de precisiÃ³n.",Argentina,Buenos Aires,Pre-Seed,,info@calice.ai,https://www.linkedin.com/company/calice-ai/people/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1SPvkiRqQljaWLkbqLA6srv-zmplMRTlH&w=3840&q=75,Ramiro Olivera (https://www.linkedin.com/in/olivera-ramiro/),2021,B2B Â· SaaS para productores y cooperativas,"IA agronÃ³mica recomendaciones cultivos Â· Argentina. Analiza clima, suelo y cultivo para recomendar manejo Ã³ptimo.
",N/D,Temprana,Regional (Latam),,"IA en agricultura = menos insumos, mejor rendimiento, menos impacto ambiental.",Etapa temprana. Operativa en Argentina.
Agrotoken,https://landing.agrotoken.oaro.net/,AgTech,"AgTech
Commerce Y Logistica",La primera infraestructura global de tokenizaciÃ³n de agrocommodities.,Argentina,Buenos Aires,Seed,,hola@agrotoken.io,linkedin.com/company/agrotoken,instagram.com/agrotoken_,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D15OedV5RWHpW8NZisMJmQRuIPf0qFHtN-&w=3840&q=75,Ariel Scaliter (https://www.linkedin.com/in/ariel-scaliter-72a36/) | Eduardo Novillo Astrada (https://www.linkedin.com/in/eduardo-novillo-astrada-h-387174bb/),2020,B2B Â· Plataforma tokenizaciÃ³n + fintech agro,,~$40M,Escala,Global,"Tokens de soja (SOYA), maÃ­z (CORA) y trigo (WHEA) como medio de pago. Visa partner.",Finanza agropecuaria sin intermediarios bancarios. Acceso a crÃ©dito con grano como colateral.,Visa partner. Banco Galicia. Backed por Softbank Latam.
Justoken ,justoken.com,AgTech / Fintech / Web3,TokenizaciÃ³n RWA / Infraestructura Blockchain,"Plataforma B2B de tokenizaciÃ³n de activos reales (RWA): commodities agrÃ­colas, campos, energÃ­a, ganado y forestaciÃ³n. Infraestructura blockchain 'a lo AWS' para mÃºltiples industrias. EvoluciÃ³n de Agrotoken.",Argentina / Brasil,Buenos Aires,Series A,,,linkedin.com/company/justoken,,,twitter.com/justokenglobal,,"Eduardo Novillo Astrada (CEO, polo player/inversor), Ariel Scaliter (CTO, blockchain mastermind)",,,,~$17.5M raised,Escala,Global,"Paraguas de Agrotoken + Landtoken + Pectoken + Enertoken + Sayky. TokenizÃ³ el 1er campo productivo de Argentina bajo nueva CNV framework. ENERTOKEN con YPF Luz: $800M+ activos de energÃ­a. T&S Explorer: trazabilidad blockchain+IA+satÃ©lite para cumplir EUDR con Bunge. 62 empleados. Clientes: Visa, Raizen, Bunge, Broto. Backed: Bunge Ventures, BYMA Ventures, MANA Tech, Beagle Capital.",TokenizaciÃ³n agro = crÃ©dito accesible para productores. EUDR compliance = soja argentina deforestation-free. EnergÃ­a tokenizada = acceso democrÃ¡tico a energÃ­a renovable desde $50.,Serie A completada. T&S Explorer lanzado con Bunge (Nov 2025). Enertoken con YPF Luz activo. Primer campo tokenizado aprobado por CNV. Expansion a USA en planes. PrÃ³xima ronda para desembarco en EEUU.
Fyo,fyo.com,Biotechnology & bioinputs ,"AgTech
Biotech, BioingenierÃ­a & Biomateriales",Ofrecen servicios integrales que abarcan todo la cadena agro.,Argentina,"Santa Fe, Rosario",N/A,,contacto@fyo.com,https://www.linkedin.com/company/fyo-com/,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1XIMdL7sumrF6n597EjQn6dvyQll9E0Uy&w=3840&q=75,Alejandro Larosa (https://www.linkedin.com/in/alejandro-larosa/),1999,,,,,,,,
Michroma,michroma.co,AgTech,Ag Hardware & Automation,Michroma es una plataforma de biotecnologÃ­a para producir ingredientes naturales tanto sustentables como escalables con costos razonables.,Argentina,Argentina / Chile,Seed,,,https://www.linkedin.com/company/michroma/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1F41VEOer7hobldjfxucjg8yNK8zh4FI9&w=3840&q=75,Mauricio Braia (https://www.linkedin.com/in/mauribraia/) | Ricky Cassini (https://www.linkedin.com/in/cassinir/),2019,,,,,Argentina/Chile,,,
Nectras,nectras.com,AgTech,Digital Agriculture / Ag Software,"Sistema integrado para monitorear y controlar las plagas agrÃ­colas que combinan las trampas de IOT, el aprendizaje de la mÃ¡quina y los drones de pulverizaciÃ³n a gas.",Argentina,Argentina ,Seed,,,https://www.linkedin.com/company/ar-nectras/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1kDj_Reino Unidok3kgAjd12CgyxnKFsXaoJQV_zK&w=3840&q=75,Franco Garione (https://www.mapeos.endeavor.org.ar/TBD) | Luciana Bollati (https://www.mapeos.endeavor.org.ar/TBD),2017,,,,,,,,
uCrop.it,ucrop.it,AgTech,Ag Hardware & Automation,Plataforma de trazabilidad agrÃ­cola basada en blockchain para producciÃ³n sostenible,Argentina,Buenos Aires,Grant,Contact with us,"info@ucrop.com
 / info@ucrop.net",https://www.linkedin.com/company/ucropit/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D15p26fz3u-4GmkvRglaA-HmKO2dksKgaO&w=3840&q=75,Diego Hoter (https://www.linkedin.com/in/diego-hoter-4a140b1/) | Marcos Botta (https://www.mapeos.endeavor.org.ar/TBD) | Matias O'Keefe (https://www.linkedin.com/in/matiasokeefe/) | Matias OâKeefe (https://www.linkedin.com/in/matiasokeefe/) | Pablo Adrian Vaquero (https://www.mapeos.endeavor.org.ar/TBD),2018,,,,,,,,
ZoomAgri,zoomagri.com,AgTech,Digital Agriculture / Ag Software,"A travÃ©s de la inteligencia artificial, la visiÃ³n artificial y el Internet de las cosas, ZoomAgri proporciona una evaluaciÃ³n de la calidad de los productos bÃ¡sicos agrÃ­colas a todos los participantes de la cadena de suministro agrÃ­cola.",Argentina,Buenos Aires,Series A,,fmh@zoomagri.com,https://www.linkedin.com/company/zoomagri/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1NWQX-LSyCfafhXvh3KilTcTuuLWrrgFZ&w=3840&q=75,Fernando Martinez de Hoz (https://www.linkedin.com/in/fernando-martinez-de-hoz-b166049/) | Ignacio Ayanz (https://www.linkedin.com/in/ignacio-ayanz-3512505/) | Jaap Rommelaar (https://www.linkedin.com/in/jaap-rommelaar-237b535/) | MatÃ­as Micheloud (https://www.linkedin.com/in/mat%C3%ADas-micheloud-5026a310/),2017,,,,,Argentina/EspaÃ±a,,,
Acronex,acronex.com,Biotechnology & bioinputs ,"AgTech
Biotech, BioingenierÃ­a & Biomateriales","Acronex es una empresa dedicada a la investigaciÃ³n y desarrollo tecnolÃ³gico orientado al sector agrÃ­cola. Brindamos herramientas para afrontar los nuevos desafÃ­os del sector, apuntado a aumentar la productividad de los procesos, reducir el impacto ambiental y garantizar a la comunidad la correcta aplicaciÃ³n de fitosanitarios.",Argentina,Santa Fe,N/A,54 9 342 471-02750,info@acronex.com,https://www.linkedin.com/company/acronex/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1cCUIXHPYB4DlpsYcKK6iQlbr-5pqYtJ7&w=3840&q=75,Gonzalo Slaboch (https://www.linkedin.com/in/gonzaloslaboch/),2011,,,,,,,,
Agidea,agidea.com.ar,AgTech,Digital Agriculture / Ag Software,"Empresa que provee investigaciÃ³n, desarrollo y soluciones para empresas biotecnolÃ³gicas, semilleras y de protecciÃ³n/nutriciÃ³n.",,,Adquirida (M&A),054 2477 415633 / 01 660 202 3899 / 0598 2518 5827,"info@agidea.com.ar
info_Estados Unidos@agidea.com.ar
info_uruguay@agidea.com.ar",https://www.linkedin.com/company/agidea/about/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1v1DAMn5Stm_PylnH6Xdj6xEVMy3ZDxY0&w=3840&q=75,Gonzalo Grigera (https://www.linkedin.com/in/gonzalo-grigera-272385b4/) | Mariano Battista (https://www.linkedin.com/in/mariano-battista-bb919889/),2006,,,,,,,,
Agreemarket,agreemarket.com,AgTech,Ag FinTech & InsurTech,"Plataforma de gestiÃ³n comercial, documentaciÃ³n y financiamiento para la Comunidad Agroalimentaria.",,,Series A,,,https://www.linkedin.com/company/agree-ag/about/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1tp06Reino UnidohOxOwHPbLpT30KRcIvDUDi0jH7&w=3840&q=75,Gabriel Sanchez Catena (https://www.linkedin.com/in/gabriel-sanchez-catena-716b992/) | NicolÃ¡s Mayer-Wolf (https://www.linkedin.com/in/nmayerwolf/) | Rodrigo Oscar Vazquez (https://www.linkedin.com/in/rovazquez/) | SebastiÃ¡n Miret (https://www.linkedin.com/in/sebastianmiret/),2017,,,,,,,,
AgriPay,agripay.ar,AgTech,"AgTech
Commerce Y Logistica","Agripay naciÃ³ con el proposito de simplificar el uso de granos como medio de pago en toda la cadena de comercializaciÃ³n agropecuaria, brindando soluciones y servicios a cada actor: productor agropecurio, operador y comercios.",,,N/A,,,https://www.linkedin.com/company/agripay-ar/  ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1CTt_3GqiMR3xFvCN74AjM8xD9kTqpXMl&w=3840&q=75,Ivan NicolÃ¡s FrÃ¼m (https://www.linkedin.com/in/ivan-nicol%C3%A1s-fr%C3%BCm-131594145/),2020,,,,,,,,
AgriRed,agrired.com,AgTech,"AgTech
Commerce Y Logistica","Agrired es el primer mercado electrÃ³nico para la comercializaciÃ³n de insumos del agro, convirtiÃ©ndose en una de las redes mas importantes del sector.",,,Series A,,,https://www.linkedin.com/company/18090552/admin/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D162xsJHnKYHPG4VS06P97Kg7OQyWGpAgR&w=3840&q=75,Gabriel Vidal (https://www.linkedin.com/in/gabriel-vidal-8b405519/) | NicolÃ¡s Peire (https://www.linkedin.com/in/nicol%C3%A1s-peire-81658758/),2017,,,,,,,,
Agroads,agroads.com.ar,AgTech,"AgTech
Fintech","Agroads.com, un marketplace agropecuario en Internet con operaciones en Argentina y Brasil.",,,N/A,,,https://www.linkedin.com/company/agroads-com/about/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1MSFBT-WsaGz9f6iK2nY3oXZ2akMFSqfb&w=3840&q=75,Robert Rodriguez (https://www.linkedin.com/in/robertr-agroads/),2005,,,,,,,,
AgroPago,agropago.com,AgTech,Ag Hardware & Automation,Plataforma que integra medios de pago agro.,,,N/A,,comercial@agropago.com,https://www.linkedin.com/company/agropago/about/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Ffile%2Fd%2F1FojiwBggVqvhkUDmsZwJamb707WMFHYj%2Fview%3Fusp%3Ddrive_link&w=3840&q=75,Ignacio Martin (https://www.linkedin.com/in/ignacio-martin-38514a4/) | Patricio Bacigalupo (https://www.linkedin.com/in/patricio-bacigalupo-76ba64232/),2017,,,,,,,,
AgroPro,agropro.ag,AgTech,Ag Hardware & Automation,"Agropro es un ecosistema agro digital para los agricultores, que permite la interacciÃ³n en tiempo real con la industria de una sola plataforma agrÃ­cola.",,,N/A,,"info@agropro.ag
 / soporte@agropro.ag",https://www.linkedin.com/company/agroproag/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1LcesERKSrA8wRllQ165r-7CVuwObCA4D&w=3840&q=75,Ignacio Eguren (https://www.linkedin.com/in/ignacioeguren/),2019,,,,,,,,
Albor Agro,alboragro.com,AgTech,"AgTech
Commerce Y Logistica",Soluciones de software para el agro.,,,N/A,0810-345-2539,"comercial@alboragro.com
 / soporte@alboragro.com",https://www.linkedin.com/company/albor/about/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1GYOz_3WhWuFTs-tsAC0W6owiFLQsXmey&w=3840&q=75,Adrian Bruno (https://www.linkedin.com/in/adrian-bruno-94821811/) | Santiago Gil (https://www.linkedin.com/in/ing-santiago-gil-0a246214/),1991,,,,,,,,
Anote,anote.com.ar,AgTech,Ag Hardware & Automation,"Anote es una plataforma digital para la comercializaciÃ³n de insumos para el campo, granos y especialidades en forma directa.",,,N/A,,,https://www.linkedin.com/company/anotegranos/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1n7LJwXGlBZnalvsv6FMM6C1lEBE3SPq2&w=3840&q=75,German Cuesta (https://www.linkedin.com/in/german-cuesta-anote/),2018,,,,,,,,
Auravant,auravant.com,AgTech,Ag FinTech & InsurTech,Auravant ayuda a mejorar la eficiencia del sector agrÃ­cola mediante el uso de plataformas de monitoreo aÃ©reo.,,,Seed,,,https://www.linkedin.com/company/auravant/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1HGvVk9CFuXf-SzglCQ0kbXEAbjAN9KRd&w=3840&q=75,Leandro Sabignoso (https://www.linkedin.com/in/leandrosabignoso/) | Leonardo FernÃ¡ndez (https://www.mapeos.endeavor.org.ar/TBD) | NicolÃ¡s Larrandart (https://www.linkedin.com/in/nlarrandart/) | Pablo Silveri (https://www.linkedin.com/in/pablo-silveri/),2014,,,,,,,,
Autonomy Latam,autonomylatam.com,AgTech,Ag FinTech & InsurTech,"En Autonomy, lideran la revoluciÃ³n de la movilidad en AmÃ©rica Latina, derribando las barreras financieras que dificultan el acceso a vehÃ­culos, como herramienta para el desarrollo de oportunidades laborales y la autonomÃ­a financiera. A travÃ©s de su innovador modelo ""Rent to Own"", especialmente diseÃ±ado para conductores de aplicaciones de movilidad, promueven la inclusiÃ³n social y el progreso econÃ³mico al brindar la oportunidad de adquirir un vehÃ­culo a aquellos que carecen del capital o ingresos necesarios para hacerlo por sÃ­ mismos.",,,Seed,,,https://www.linkedin.com/company/autonomy-ar/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D14gTJJMwGBuUjpFzIM9r1QL9GEJXGvUS8&w=3840&q=75,JosÃ© N. Trusso (https://www.linkedin.com/in/jos%C3%A9-n-trusso-a659b037/),2020,,,,,,,,
Bamba,bamba.ar,AgTech,Ag FinTech & InsurTech,Plataforma digital de servicios financieros de los agronegocios.,,,N/A,,,https://www.linkedin.com/company/bambafintechagro/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1B1koxlJVI_m81GQg1rGbxlQfM6G9aKPP&w=3840&q=75,Felipe Lanusse (https://www.linkedin.com/in/felipelanusse/) | Pablo Tamburo (https://www.linkedin.com/in/pablotamburo/),2020,,,,,,,,
BeeFlow,beeflow.com,Biotechnology & bioinputs ,"AgTech
Biotech, BioingenierÃ­a & Biomateriales",Beeflow aumenta el rendimiento de los cultivos para los agricultores mediante la aplicaciÃ³n de los conocimientos y tecnologÃ­a cientÃ­ficas a la polinizaciÃ³n de las abejas.,,,Series A,,,https://www.linkedin.com/company/beeflow/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1zc990DCudKHbCUO08Ar1tvYWEFs6CZeF&w=3840&q=75,Matias Viel (https://www.linkedin.com/in/matiasviel/),2016,,,,,,,,
BioEutectics,bioeutectics.com,Biotechnology & bioinputs ,"AgTech
Biotech, BioingenierÃ­a & Biomateriales","Revolucionando la industria de los disolventes convirtiÃ©ndola en una industria natural, biodegradable y sostenible.",,,N/A,,info@bioeutectis.com,https://www.linkedin.com/company/bioeutectics/ ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D1f21fANZWIcIRgxJ3BhHrTFdE69OV35xy&w=3840&q=75,Federico JV Gomez (https://www.linkedin.com/in/fjvg33/) | Fernanda Silva (https://www.linkedin.com/in/maria-fernanda-silva-96ab6538/) | Sergio David Pasini Cabello (https://www.linkedin.com/in/pasinicabellosd/) | Tomas Silicaro (https://www.linkedin.com/in/tomas-silicaro-85112922/),2021,,,,,,,,
BioHeuris,bioheuris.com,AgTech,Ag FinTech & InsurTech,Bioheuris estÃ¡ integrando la biologÃ­a sintÃ©tica y la ediciÃ³n de genes para desarrollar sistemas de gestiÃ³n de malezas sostenibles,Argentina,Santa Fe,Series A,(54) 341-3831720 / 5278962 / 3861022,info@bioheuris.com,https://www.linkedin.com/company/bioheuris ,,,,https://www.mapeos.endeavor.org.ar/_next/image?url=https%3A%2F%2Fdrive.google.com%2Fuc%3Fexport%3Dview%26id%3D11Oj0P3rnMsuzgWpabq7gb0AREVjlj1ra&w=3840&q=75,Carlos Perez (https://www.linkedin.com/in/carlos-perez-53796914/) | Lucas Lieber (https://www.linkedin.com/in/lucaslieber/),2016,,,,,,,,
